,Gene,RNA tissue category,RNA TS TPM
0,A1BG,Tissue enriched,liver: 505.6
1,A1CF,Tissue enhanced,liver: 76.0;small intestine: 29.8
2,A2ML1,Tissue enriched,esophagus: 479.2
3,A4GNT,Tissue enriched,stomach: 24.5
4,AADAC,Group enriched,adrenal gland: 150.1;duodenum: 182.4;liver: 386.8;small intestine: 215.8
5,AADACL2,Tissue enriched,skin: 31.1
6,AADACL3,Tissue enhanced,placenta: 1.3
7,AADAT,Tissue enhanced,liver: 34.7
8,AAK1,Tissue enriched,parathyroid gland: 389.6
9,AANAT,Tissue enhanced,testis: 4.5
10,AARD,Tissue enriched,testis: 42.4
11,AATK,Tissue enhanced,cerebral cortex: 36.4;duodenum: 23.4
12,ABAT,Tissue enhanced,cerebral cortex: 164.5;kidney: 135.3;liver: 175.2
13,ABC13-47488600E17.1,Tissue enhanced,stomach: 2.6;testis: 5.9
14,ABC7-42404400C24.1,Tissue enhanced,cerebral cortex: 13.8;lung: 19.3
15,ABCA12,Group enriched,breast: 7.7;skin: 25.2
16,ABCA13,Tissue enriched,bone marrow: 29.4
17,ABCA2,Tissue enriched,cerebral cortex: 97.9
18,ABCA3,Tissue enhanced,lung: 135.5
19,ABCA4,Tissue enhanced,epididymis: 9.9
20,ABCA6,Tissue enhanced,liver: 41.4
21,ABCB1,Tissue enhanced,adrenal gland: 137.8;small intestine: 82.4
22,ABCB11,Tissue enriched,liver: 19.1
23,ABCB4,Tissue enriched,liver: 69.3
24,ABCB5,Tissue enriched,epididymis: 32.3
25,ABCB9,Tissue enhanced,testis: 23.8
26,ABCC11,Tissue enriched,breast: 64.4
27,ABCC12,Tissue enhanced,testis: 2.9
28,ABCC2,Group enriched,duodenum: 43.5;gallbladder: 42.7;kidney: 20.9;liver: 67.6;small intestine: 49.5
29,ABCC4,Tissue enhanced,prostate: 70.4
30,ABCC6,Tissue enhanced,kidney: 16.9;liver: 23.4
31,ABCC8,Tissue enhanced,cerebral cortex: 11.3
32,ABCD2,Tissue enhanced,adipose tissue: 16.7
33,ABCG2,Tissue enhanced,small intestine: 113.8
34,ABCG4,Group enriched,cerebral cortex: 6.6;parathyroid gland: 4.1;testis: 5.1
35,ABCG5,Group enriched,duodenum: 56.5;liver: 28.4;small intestine: 56.2
36,ABCG8,Group enriched,duodenum: 50.0;liver: 34.0;small intestine: 55.5
37,ABHD1,Tissue enriched,testis: 30.0
38,ABHD12B,Tissue enriched,skin: 16.3
39,ABHD14A-ACY1,Tissue enhanced,small intestine: 1.7
40,ABHD16A,Tissue enhanced,gallbladder: 1.7;testis: 1.2;thyroid gland: 1.4
41,ABI3,Tissue enhanced,spleen: 62.0
42,ABLIM2,Tissue enhanced,skeletal muscle: 37.5;spleen: 28.4
43,ABLIM3,Tissue enhanced,parathyroid gland: 79.4
44,ABO,Tissue enhanced,small intestine: 17.9
45,ABRA,Group enriched,heart muscle: 11.0;skeletal muscle: 49.8
46,AC002429.5,Tissue enriched,cerebral cortex: 2.7
47,AC004381.6,Tissue enriched,testis: 618.5
48,AC004754.3,Group enriched,duodenum: 14.2;small intestine: 7.8
49,AC005281.1,Group enriched,fallopian tube: 8.1;testis: 1.6
50,AC006116.20,Tissue enriched,epididymis: 120.3
51,AC006486.9,Tissue enhanced,cerebral cortex: 7.8
52,AC007040.11,Tissue enhanced,testis: 1.1
53,AC007325.1,Tissue enriched,testis: 16.5
54,AC007325.2,Tissue enhanced,skin: 38.5;small intestine: 37.1
55,AC007325.4,Tissue enhanced,cerebral cortex: 27.4;heart muscle: 34.4;skeletal muscle: 40.5
56,AC009014.3,Tissue enhanced,duodenum: 13.2;kidney: 22.7
57,AC009133.22,Tissue enhanced,colon: 2.6;duodenum: 1.8;spleen: 1.0
58,AC009477.8,Tissue enriched,adipose tissue: 1.1
59,AC011513.3,Group enriched,colon: 41.2;esophagus: 10.3
60,AC011530.4,Tissue enhanced,epididymis: 1.0
61,AC018755.18,Tissue enhanced,appendix: 10.0;bone marrow: 17.4
62,AC023491.2,Tissue enriched,testis: 67.4
63,AC025335.1,Tissue enriched,skin: 61.7
64,AC037459.4,Tissue enhanced,spleen: 3.6
65,AC069368.3,Tissue enhanced,spleen: 8.8
66,AC113404.1,Tissue enriched,small intestine: 3.4
67,AC114783.1,Tissue enriched,testis: 57.8
68,AC131097.4,Tissue enhanced,thyroid gland: 11.5
69,AC133551.1,Group enriched,epididymis: 7.4;testis: 4.1
70,AC136612.1,Tissue enriched,testis: 4.3
71,AC136616.1,Group enriched,skin: 1.6;testis: 6.9
72,AC136616.3,Tissue enhanced,"cervix, uterine: 8.6;tonsil: 6.6"
73,AC138517.6,Tissue enhanced,rectum: 2.6
74,AC138647.1,Tissue enhanced,testis: 1.8
75,AC141272.1,Tissue enhanced,tonsil: 114.8
76,AC171558.1,Tissue enriched,testis: 4.3
77,AC171558.2,Tissue enriched,testis: 2.5
78,AC213203.1,Tissue enriched,testis: 24.2
79,AC233755.1,Tissue enhanced,urinary bladder: 1019.5
80,AC233755.2,Tissue enhanced,tonsil: 197.2
81,ACACB,Tissue enriched,adipose tissue: 194.8
82,ACADL,Tissue enhanced,thyroid gland: 32.0
83,ACAN,Tissue enhanced,seminal vesicle: 5.0
84,ACAP1,Tissue enhanced,lymph node: 94.2
85,ACBD7,Tissue enriched,cerebral cortex: 40.5
86,ACE,Tissue enhanced,duodenum: 178.9;small intestine: 291.6
87,ACE2,Group enriched,duodenum: 181.1;gallbladder: 100.2;kidney: 94.0;small intestine: 261.1;testis: 93.0
88,ACER1,Tissue enriched,skin: 67.8
89,ACER2,Group enriched,placenta: 14.8;stomach: 62.9;urinary bladder: 44.1
90,ACHE,Tissue enhanced,skeletal muscle: 58.5
91,ACKR2,Tissue enhanced,placenta: 22.9
92,ACMSD,Group enriched,kidney: 137.3;liver: 80.2
93,ACOD1,Tissue enriched,appendix: 1.9
94,ACOT12,Tissue enriched,liver: 51.3
95,ACOT4,Tissue enhanced,kidney: 8.9
96,ACOT6,Tissue enhanced,kidney: 3.8
97,ACOT7,Tissue enhanced,cerebral cortex: 129.2
98,ACOX2,Tissue enhanced,liver: 87.9
99,ACOXL,Group enriched,epididymis: 9.2;lung: 14.5;parathyroid gland: 6.9;prostate: 5.2;testis: 5.2;urinary bladder: 7.6
100,ACP5,Tissue enhanced,lung: 254.0
101,ACP7,Group enriched,cerebral cortex: 1.8;skin: 6.9;tonsil: 2.3
102,ACPP,Tissue enriched,prostate: 6030.6
103,ACPT,Tissue enhanced,skin: 1.4;testis: 2.2
104,ACR,Tissue enriched,testis: 58.0
105,ACRBP,Tissue enriched,testis: 432.5
106,ACRV1,Tissue enriched,testis: 153.6
107,ACSBG1,Tissue enhanced,cerebral cortex: 25.6;skin: 13.3
108,ACSBG2,Tissue enriched,testis: 294.0
109,ACSF2,Tissue enhanced,kidney: 136.9
110,ACSL6,Group enriched,bone marrow: 18.0;cerebral cortex: 61.9;parathyroid gland: 22.5;seminal vesicle: 29.0;testis: 51.4
111,ACSM1,Tissue enriched,breast: 298.7
112,ACSM2A,Group enriched,kidney: 285.2;liver: 185.7
113,ACSM2B,Group enriched,kidney: 426.7;liver: 262.0
114,ACSM3,Tissue enhanced,liver: 93.2
115,ACSM4,Tissue enhanced,testis: 1.7
116,ACSM5,Tissue enriched,liver: 142.6
117,ACSM6,Tissue enhanced,stomach: 1.7
118,ACTA1,Tissue enriched,skeletal muscle: 45978.0
119,ACTC1,Tissue enriched,heart muscle: 1903.0
120,ACTG2,Tissue enhanced,seminal vesicle: 8158.9;smooth muscle: 11634.7
121,ACTL10,Tissue enriched,testis: 22.1
122,ACTL6B,Tissue enriched,cerebral cortex: 45.6
123,ACTL7A,Tissue enriched,testis: 193.7
124,ACTL7B,Tissue enriched,testis: 58.9
125,ACTL8,Tissue enriched,testis: 10.0
126,ACTL9,Tissue enriched,testis: 50.0
127,ACTN2,Group enriched,heart muscle: 477.5;skeletal muscle: 758.7
128,ACTN3,Tissue enriched,skeletal muscle: 556.5
129,ACTR3C,Tissue enriched,parathyroid gland: 87.3
130,ACTRT1,Tissue enriched,testis: 3.6
131,ACTRT2,Tissue enriched,testis: 102.2
132,ACTRT3,Tissue enriched,testis: 60.6
133,ACVR1C,Tissue enriched,adipose tissue: 34.1
134,ACVRL1,Tissue enhanced,placenta: 126.4
135,ACY1,Group enriched,duodenum: 130.8;kidney: 356.0;liver: 114.9;small intestine: 103.3
136,ACY3,Tissue enhanced,duodenum: 80.6;kidney: 53.3;small intestine: 78.6
137,ADA,Tissue enriched,duodenum: 487.7
138,ADAD1,Tissue enriched,testis: 212.1
139,ADAD2,Tissue enriched,testis: 32.3
140,ADAM11,Tissue enhanced,cerebral cortex: 19.8
141,ADAM12,Tissue enriched,placenta: 237.2
142,ADAM18,Tissue enriched,testis: 8.4
143,ADAM2,Tissue enriched,testis: 41.9
144,ADAM20,Tissue enriched,testis: 9.2
