Organism	Total protein [pg/cell]	Total molecules per cell	Histone mass [pg/cell]	Ploidy	Cell volume [fl]	Sample	Input Column
#!{Type}C	N	N	N	N	N	T	T
H. sapiens	509.93	7196669440	6.5452	2	2549.67	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_1	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_1
H. sapiens	844.1	10477250417	6.5452	2	4220.48	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_10	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_10
H. sapiens	836.83	12393060222	6.5452	2	4184.17	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_11	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_11
H. sapiens	728.17	9234007296	6.5452	2	3640.87	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_12	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_12
H. sapiens	669.56	9353263067	6.5452	2	3347.78	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_2	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_2
H. sapiens	624.67	9032386251	6.5452	2	3123.36	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_3	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_3
H. sapiens	799.38	10681119312	6.5452	2	3996.89	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_4	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_4
H. sapiens	643.73	8504916875	6.5452	2	3218.64	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_5	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_5
H. sapiens	695.25	9681195988	6.5452	2	3476.24	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_6	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_6
H. sapiens	793.57	10641839888	6.5452	2	3967.86	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_7	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_7
H. sapiens	766.71	9758746613	6.5452	2	3833.56	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_8	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_8
H. sapiens	877.08	11832521796	6.5452	2	4385.42	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_9	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate1_9
H. sapiens	671.77	8366640118	6.5452	2	3358.83	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_13	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_13
H. sapiens	945.5	12302995265	6.5452	2	4727.5	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_14	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_14
H. sapiens	790.75	9996325634	6.5452	2	3953.77	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_15	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_15
H. sapiens	531.03	7762090617	6.5452	2	2655.14	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_16	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_16
H. sapiens	498.2	7448818924	6.5452	2	2490.99	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_17	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_17
H. sapiens	716.58	10257148133	6.5452	2	3582.91	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_18	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_18
H. sapiens	457.59	6303763467	6.5452	2	2287.97	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_19	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_19
H. sapiens	308.82	4327824684	6.5452	2	1544.1	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_20	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_20
H. sapiens	315.96	4439238647	6.5452	2	1579.82	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_21	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_21
H. sapiens	296.61	4086796322	6.5452	2	1483.03	20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_22	LFQ intensity 20171224_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate2_22
H. sapiens	223.16	3149276447	6.5452	2	1115.82	20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_23	LFQ intensity 20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_23
H. sapiens	297.12	4125961889	6.5452	2	1485.59	20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_24	LFQ intensity 20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_24
H. sapiens	362.18	4865923600	6.5452	2	1810.9	20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_25	LFQ intensity 20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_25
H. sapiens	348.89	4667196711	6.5452	2	1744.45	20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_26	LFQ intensity 20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_26
H. sapiens	931.37	10914518393	6.5452	2	4656.86	20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_27	LFQ intensity 20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_27
H. sapiens	697.62	8569878340	6.5452	2	3488.1	20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_28	LFQ intensity 20180320_QE10_nLC13_LiNi_SA_000001_HliverAtlas_Plate3_28
