Cluster ID	Type	Name	P value	Enrichment	Total	In cluster	Cluster size	Ben. Ho. FDR
-2528	GOMF name	catalytic activity	7.3707E-47	1.1849	1226	1032	1798	1.6474E-43
-2528	GOBP name	small molecule metabolic process	7.7846E-47	1.2444	845	747	1798	5.176E-43
-2528	GOBP name	cellular metabolic process	1.9053E-37	1.133	1517	1221	1798	6.3342E-34
-2528	GOBP name	metabolic process	4.0271E-32	1.1097	1658	1307	1798	8.9253E-29
-2528	GOBP name	cellular ketone metabolic process	5.1225E-29	1.2978	397	366	1798	8.5149E-26
-2528	GOBP name	organic acid metabolic process	4.6808E-28	1.2958	390	359	1798	6.2246E-25
-2528	GOBP name	oxoacid metabolic process	3.0641E-27	1.294	384	353	1798	2.9105E-24
-2528	GOBP name	carboxylic acid metabolic process	3.0641E-27	1.294	384	353	1798	3.3956E-24
-2528	GOMF name	oxidoreductase activity	5.0059E-24	1.3001	327	302	1798	5.594E-21
-2528	GOCC name	mitochondrial part	4.1199E-23	1.274	379	343	1798	1.2305E-20
-2528	GOBP name	primary metabolic process	1.8957E-22	1.108	1428	1124	1798	1.4005E-19
-2528	GOCC name	mitochondrion	3.1159E-20	1.2273	476	415	1798	3.102E-18
-2528	GOBP name	cellular catabolic process	1.9859E-18	1.2369	404	355	1798	7.3359E-16
-2528	GOBP name	monocarboxylic acid metabolic process	1.9576E-18	1.3359	196	186	1798	7.6566E-16
-2528	GOBP name	oxidation-reduction process	5.9084E-18	1.2873	269	246	1798	2.0676E-15
-2528	GOBP name	catabolic process	1.7458E-16	1.204	477	408	1798	5.5275E-14
-2528	GOCC name	mitochondrial inner membrane	1.1408E-14	1.301	198	183	1798	7.8625E-13
-2528	GOCC name	organelle inner membrane	1.0413E-13	1.2853	207	189	1798	6.6642E-12
-2528	GOCC name	mitochondrial membrane	1.4639E-13	1.2574	253	226	1798	8.7441E-12
-2528	GOBP name	small molecule biosynthetic process	6.9177E-14	1.3017	186	172	1798	1.7691E-11
-2528	GOBP name	heterocycle metabolic process	2.2502E-13	1.2767	215	195	1798	4.9872E-11
-2528	GOBP name	cellular amine metabolic process	5.0501E-13	1.2749	212	192	1798	1.0832E-10
-2528	GOBP name	carboxylic acid catabolic process	6.878E-13	1.3422	129	123	1798	1.3066E-10
-2528	GOBP name	organic acid catabolic process	6.878E-13	1.3422	129	123	1798	1.3451E-10
-2528	GOBP name	cellular amino acid metabolic process	1.0899E-12	1.2837	193	176	1798	1.9587E-10
-2528	GOBP name	small molecule catabolic process	2.77E-12	1.2938	173	159	1798	4.3852E-10
-2528	GOMF name	transferase activity	8.3442E-13	1.2155	337	291	1798	4.6623E-10
-2528	GOCC name	mitochondrial matrix	1.4802E-11	1.3159	138	129	1798	5.7662E-10
-2528	GOBP name	biosynthetic process	3.9359E-12	1.1336	719	579	1798	6.086E-10
-2528	GOBP name	carboxylic acid biosynthetic process	4.4517E-12	1.339	123	117	1798	6.4346E-10
-2528	GOBP name	organic acid biosynthetic process	4.4517E-12	1.339	123	117	1798	6.5776E-10
-2528	GOBP name	cofactor metabolic process	5.7624E-12	1.3014	159	147	1798	8.1519E-10
-2528	GOBP name	cellular aromatic compound metabolic process	1.1087E-11	1.365	99	96	1798	1.4455E-09
-2528	GOCC name	cytoplasmic part	8.0939E-11	1.0534	1768	1323	1798	2.9008E-09
-2528	GOBP name	cellular biosynthetic process	3.326E-11	1.1333	672	541	1798	4.1726E-09
-2528	GOBP name	fatty acid metabolic process	4.649E-11	1.3197	128	120	1798	5.5199E-09
-2528	GOBP name	lipid metabolic process	1.0144E-10	1.1936	342	290	1798	1.1629E-08
-2528	GOCC name	mitochondrial membrane part	3.8878E-10	1.3597	88	85	1798	1.2441E-08
-2528	KEGG name	Parkinson's disease	1.4693E-10	1.3889	75	74	1798	1.8954E-08
-2528	GOBP name	amine catabolic process	6.2267E-10	1.372	79	77	1798	6.1793E-08
