Cluster ID	Type	Name	P value	Enrichment	Total	In cluster	Cluster size	Ben. Ho. FDR
-2524	GOCC name	plasma membrane	1.0353E-33	1.9196	426	221	684	9.2759E-31
-2524	GOBP name	regulation of cellular process	8.4983E-23	1.3784	1055	393	684	6.2783E-20
-2524	GOCC name	anchoring junction	5.0349E-21	2.2426	165	100	684	1.1278E-18
-2524	GOCC name	adherens junction	6.4991E-21	2.2474	163	99	684	1.1646E-18
-2524	GOCC name	cell junction	4.1882E-21	2.0376	227	125	684	1.2509E-18
-2524	GOCC name	cell-substrate adherens junction	1.7736E-20	2.2679	155	95	684	2.6486E-18
-2524	GOCC name	focal adhesion	4.3795E-20	2.2586	154	94	684	5.6057E-18
-2524	GOBP name	actin filament-based process	9.798E-21	2.6596	96	69	684	5.9224E-18
-2524	GOCC name	cell-substrate junction	6.4961E-20	2.239	157	95	684	7.2756E-18
-2524	GOCC name	plasma membrane part	8.867E-20	1.913	265	137	684	8.8276E-18
-2524	GOBP name	regulation of biological process	3.6138E-20	1.3211	1168	417	684	2.0023E-17
-2524	GOBP name	cytoskeleton organization	7.0014E-20	2.3808	129	83	684	3.5809E-17
-2524	GOBP name	biological regulation	8.3208E-20	1.2893	1280	446	684	3.9518E-17
-2524	GOBP name	locomotion	1.3576E-19	2.202	163	97	684	6.0179E-17
-2524	GOBP name	signal transduction	2.9818E-19	1.6105	494	215	684	1.2391E-16
-2524	GOBP name	actin cytoskeleton organization	7.4988E-19	2.6491	88	63	684	2.9329E-16
-2524	GOCC name	cytoskeleton	1.0545E-17	2.1339	163	94	684	8.589E-16
-2524	GOCC name	cytoskeletal part	2.9159E-17	1.9641	211	112	684	2.1772E-15
-2524	GOBP name	cell surface receptor linked signaling pathway	3.798E-16	1.815	263	129	684	1.2025E-13
-2524	GOBP name	cellular component movement	6.5112E-16	2.1252	148	85	684	1.9679E-13
-2524	GOBP name	regulation of cellular component organization	1.1811E-14	1.7492	275	130	684	3.2722E-12
-2524	GOBP name	biological adhesion	7.5164E-14	2.3032	98	61	684	1.851E-11
-2524	GOBP name	cell adhesion	7.5164E-14	2.3032	98	61	684	1.9222E-11
-2524	GOBP name	axon guidance	9.0159E-14	2.5957	67	47	684	2.141E-11
-2524	GOBP name	multicellular organismal process	1.1355E-13	1.6156	355	155	684	2.6034E-11
-2524	KEGG name	Focal adhesion	1.1658E-13	2.913	47	37	684	3.0078E-11
-2524	GOCC name	actin filament bundle	8.6831E-13	3.2378	32	28	684	4.8625E-11
