Cluster ID	Type	Name	P value	Enrichment	Total	In cluster	Cluster size	Ben. Ho. FDR
-852	GOCC name	membrane part	1.7264E-18	1.3714	321	226	441	5.8179E-16
-852	GOCC name	integral to membrane	3.2083E-16	1.4804	200	152	441	4.3248E-14
-852	GOCC name	intrinsic to membrane	2.5188E-16	1.4702	208	157	441	5.659E-14
-852	GOCC name	plasma membrane	7.2934E-15	1.432	219	161	441	7.0225E-13
-852	GOCC name	extracellular region part	6.5052E-15	1.295	367	244	441	7.3075E-13
-852	GOCC name	vesicle	3.5248E-14	1.2949	355	236	441	2.9697E-12
-852	GOCC name	plasma membrane part	1.5006E-13	1.5238	147	115	441	1.0114E-11
-852	GOCC name	membrane-bounded vesicle	4.9119E-13	1.2891	343	227	441	3.0096E-11
-852	GOCC name	vacuolar part	6.1213E-13	1.7933	63	58	441	3.4381E-11
-852	GOCC name	extracellular vesicular exosome	4.9031E-11	1.282	313	206	441	2.2031E-09
-852	GOCC name	extracellular organelle	4.9031E-11	1.282	313	206	441	2.3605E-09
-852	GOCC name	extracellular membrane-bounded organelle	4.9031E-11	1.282	313	206	441	2.5421E-09
-852	GOCC name	cell surface	2.6221E-10	1.7428	57	51	441	9.8182E-09
-852	GOCC name	vacuolar membrane	2.5254E-10	1.8208	46	43	441	1.0012E-08
-852	GOCC name	lysosomal membrane	2.3795E-10	1.8551	42	40	441	1.0023E-08
-852	GOCC name	extracellular region	4.9126E-09	1.5826	80	65	441	1.5767E-07
-852	GOBP name	locomotion	1.2876E-09	1.5541	94	75	441	4.4104E-07
-852	GOCC name	extracellular space	2.0739E-08	1.4895	102	78	441	5.5913E-07
-852	GOCC name	cytoplasmic vesicle	2.0006E-08	1.5127	94	73	441	5.6184E-07
-852	GOBP name	extracellular matrix organization	3.6171E-09	1.7044	56	49	441	1.0932E-06
-852	GOBP name	vesicle-mediated transport	3.9246E-09	1.5539	89	71	441	1.1203E-06
-852	GOBP name	extracellular structure organization	3.6171E-09	1.7044	56	49	441	1.1615E-06
-852	GOCC name	cytoplasmic membrane-bounded vesicle	5.2456E-08	1.539	81	64	441	1.3094E-06
-852	GOCC name	Golgi apparatus part	1.2985E-07	1.6023	62	51	441	2.9172E-06
-852	GOBP name	response to external stimulus	1.5011E-08	1.4789	108	82	441	4.0592E-06
-852	GOCC name	organelle lumen	1.9853E-07	1.5699	67	54	441	4.3164E-06
-852	GOCC name	membrane-enclosed lumen	3.0266E-07	1.5526	69	55	441	6.3748E-06
-852	GOCC name	extracellular matrix	4.7616E-07	1.776	34	31	441	9.7252E-06
-852	GOCC name	membrane	1.0962E-06	1.1478	448	264	441	2.1731E-05
-852	GOBP name	cell adhesion	1.2317E-07	1.5203	82	64	441	2.6368E-05
-852	GOCC name	cytoplasmic vesicle part	1.5401E-06	1.5583	60	48	441	2.9658E-05
-852	GOBP name	regulation of response to stimulus	2.2081E-07	1.3241	178	121	441	4.2019E-05
-852	GOBP name	chemotaxis	2.1967E-07	1.6291	55	46	441	4.341E-05
-852	GOBP name	taxis	2.1967E-07	1.6291	55	46	441	4.5147E-05
-852	GOBP name	biological adhesion	2.7699E-07	1.502	83	64	441	5.0827E-05
-852	GOCC name	intracellular organelle lumen	2.8571E-06	1.5803	53	43	441	5.3491E-05
-852	GOBP name	secretion by cell	4.5679E-07	1.7103	41	36	441	7.5709E-05
-852	GOBP name	regulation of signal transduction	4.5038E-07	1.3767	133	94	441	7.7134E-05
-852	GOBP name	regulation of biological quality	5.1575E-07	1.3056	185	124	441	8.281E-05
