Protein ID,control,NASH,Cirrhosis,GeneName
P14324,20.027815999999998,20.501517,18.885813000000002,FDPS
P29144,18.704506666666664,18.800947999999998,18.356271,TPP2
Q63HR2,16.310678,16.178938499999997,17.154334,TNS2
P06733,22.29692,22.3445705,22.609308999999996,ENO1
Q96K17,17.270935333333334,17.366453,17.701718,BTF3L4
Q9NUB1,13.03401533333333,13.118649999999997,14.891014000000002,ACSS1
Q8WX93,15.446127333333335,15.403214499999995,17.331044,PALLD
O75368,17.66906933333333,17.467907,18.691803,SH3BGRL
A0A0C4DH38,16.670717333333332,16.813366,18.296808,IGHV5-51
Q9BTV4,17.192116666666667,16.965716499999996,18.112153,TMEM43
P29401,20.910051333333335,20.977414000000003,21.578249999999997,TKT
P05177,20.790820666666665,20.237800500000002,18.222595000000002,CYP1A2
H0Y4R1,17.58214133333333,17.731087499999997,17.991138,IMPDH2
P51812,15.650453333333331,15.738917999999998,16.680404000000003,RPS6KA3
P09110,20.861644,21.048299,19.973639,ACAA1
P37108,18.18657133333333,18.038978500000002,18.558903,SRP14
O15042,15.842381333333332,15.373385500000001,15.953798999999998,U2SURP
P11413,16.623971333333333,16.5365945,17.910219,G6PD
O95428,12.986048666666667,13.208938499999999,15.246290000000002,PAPLN
P49961,15.230017999999998,14.552362499999997,16.936830999999998,ENTPD1
P02452,23.40876466666667,23.228413,24.773628000000002,COL1A1
Q13363,16.85544866666667,16.7189555,17.236134,CTBP1
F8VW96,15.928398666666663,16.088590000000003,18.588561000000002,CSRP2
Q9Y285,17.016552,17.021080500000004,17.352966,FARSA
P29317,12.707753333333333,12.71597,14.425359,EPHA2
P50402,17.503681333333336,17.337729000000003,18.010747000000002,EMD
O95671,17.315931333333335,17.423621,16.897583,ASMTL
P42126,20.51755466666667,20.593642,19.750665,ECI1
O15031,16.61120133333333,16.642007500000002,17.009707000000002,PLXNB2
D6RGV2,13.052497333333333,12.828210500000003,15.929331,IL7R
P05556,19.545852,19.481359,20.449738,ITGB1
A1L0T0,18.00326533333333,17.801293499999996,17.330419999999997,ILVBL
C9JAX1,17.302059333333332,17.280279999999998,16.886028,FXN
P05455,18.57741533333333,18.495029499999998,18.989347000000002,SSB
P10909,18.44391266666667,18.341498,19.299827,CLU
Q5JR04,18.061002666666663,17.981961000000002,17.697882,MOV10
P23142,17.50857466666667,17.2214545,19.054546000000002,FBLN1
Q9ULC5,19.82167,19.421573000000002,18.308995000000003,ACSL5
Q96SZ5,15.466848,15.5180745,16.391793,ADO
O00515,15.743462000000001,15.845644000000002,16.979016,LAD1
Q14571,16.685124666666667,16.638026999999997,15.615640000000003,ITPR2
P60903,21.31612133333333,21.4778965,23.467375,S100A10
Q6WCQ1,14.984150666666666,15.050538,16.91655,MPRIP
P09619,13.434144000000003,13.321455,16.337056999999998,PDGFRB
B4DTF2,12.785900666666668,13.060166,14.935089999999999,ANXA8L1
Q8WVC0,13.35746,12.592574499999998,13.998118999999999,LEO1
O00330,16.736814,16.422477000000004,16.506281,PDHX
C9JY26,13.032518666666666,12.6705475,14.813908000000001,RAB34
P00325,26.05320466666666,26.059721500000002,24.467246,ADH1B
P22234,19.599533333333337,19.714338,19.103272,PAICS
Q9NY12,16.482257999999998,16.3861415,16.991746999999997,GAR1
P78386,16.140847333333333,16.348245,19.486373,KRT85
P61587,12.648459333333335,12.567725500000002,14.273753,RND3
Q01082,18.254010666666666,18.472737999999996,18.744176000000003,SPTBN1
O75367,18.041654,18.007982999999996,19.037709999999997,H2AFY
Q16719,18.39618133333333,18.3842705,17.609311,KYNU
M0QXF9,13.362934666666666,12.927216000000001,15.573845,BCAT2
P23470,12.836478,12.6255745,14.661543,PTPRG
P12110,20.803149333333337,20.7003365,21.674441,COL6A2
P55042,12.747133333333332,12.442946000000001,14.98861,RRAD
A0A1B0GTK8,12.671441333333336,12.851954000000001,14.435915,TNFAIP8L3
A0A0C4DFL7,17.852674666666665,18.39966,16.771735,CYP51A1
P00326,23.802027333333335,23.927639,22.19642,ADH1C
B7Z8V7,15.415856,14.947624000000001,13.463488000000002,NADK2
P24468,12.824756,12.907398,14.195388,NR2F2
P13489,19.355430000000002,19.454241500000002,19.902594,RNH1
C9JEJ2,16.260941333333335,16.204981999999998,16.630948999999998,PCYT1A
A0A0U1RQV3,14.824928,14.993020000000001,19.699437,EFEMP1
E9PEP6,15.085616666666663,15.006224499999998,16.155827,NRP1
Q07812,17.066152666666667,17.169745,17.803575000000002,BAX
O43760,17.135602666666667,17.0142485,17.600975999999996,SYNGR2
C9JKG1,19.464653333333334,19.483418500000006,20.795512,BGN
Q9NXV6,14.019546666666667,13.997771,14.416841999999997,CDKN2AIP
Q9UBB4,15.420534,15.427366500000002,15.95096,ATXN10
Q9Y2X3,15.940267999999998,15.8497715,16.424048,NOP58
A0A0A0MS15,14.406090666666667,14.971011500000003,16.202389999999998,IGHV3-49
P56545,13.303562666666664,12.801091500000002,14.781139,CTBP2
Q96JE7,15.663411333333332,15.831741500000001,14.722251,SEC16B
Q03154,22.263691999999995,22.569077500000002,21.623309999999996,ACY1
P68431,23.562887333333336,23.4952525,24.266537999999997,HIST1H3A
P40855,17.240299333333333,17.3632545,16.994428,PEX19
P16949,16.700302666666666,16.641357,17.778596,STMN1
Q15493,18.653768666666668,18.774773500000002,17.760651000000003,RGN
P35558,19.773598,19.434839999999998,18.906736000000002,PCK1
Q12955,15.369769333333332,15.5014895,17.493865,ANK3
P14920,19.24748,19.622046500000003,18.590149,DAO
Q04941,16.07902,16.1620155,17.810608,PLP2
Q9UPM8,20.203813333333336,20.341507499999995,19.075856999999996,AP4E1
P51857,20.95884266666667,21.280701,20.069948,AKR1D1
Q96IU4,21.090842666666664,21.311895,20.554527,ABHD14B
Q15019,17.900510666666666,17.833051500000003,18.808637,2-Sep
P24462,14.005579333333333,14.842330500000003,18.300775999999995,CYP3A7
Q99536,19.168261333333337,19.015311999999998,19.995016,VAT1
Q6P1A2,17.213986666666674,16.877378,16.579424,LPCAT3
P01011,19.715446666666665,19.254334999999998,20.221391,SERPINA3
Q16831,12.899560000000001,12.778925,14.389463000000001,UPP1
Q08397,12.964839333333334,14.093502,17.211243999999997,LOXL1
Q13439,17.61751866666667,16.720592,19.176228,GOLGA4
P00390,18.64009666666667,18.710259500000003,19.216486,GSR
Q92905,16.81617466666667,16.860004,17.123981,COPS5
P54868,25.565106000000004,25.8071905,23.96858,HMGCS2
Q96G03,19.019540000000003,18.862677,19.255973,PGM2
Q9UBV8,16.51937333333333,16.613154499999997,16.979336,PEF1
F2Z2U4,16.96096,17.443107000000005,14.957346000000001,TRRAP
P31937,19.989359999999994,20.005005500000003,19.382315,HIBADH
O95954,23.001595333333334,23.35305900000001,21.252204999999996,FTCD
P55774,12.948015999999999,12.800543499999998,15.150153,CCL18
Q2TB90,14.278297333333331,15.573256499999996,17.854984,HKDC1
E9PKG1,16.337122666666666,16.2558115,16.793675999999998,PRMT1
P60953,19.59994,19.531857499999994,19.920945,CDC42
O75955,17.09445466666666,16.86388,17.731679000000003,FLOT1
A0A0U1RR32,23.972152666666666,23.559390499999996,24.635436,HIST1H3D
O75976,14.876406000000001,14.468129000000001,15.398817000000003,CPD
P61244,13.144948,12.388611,14.603840000000002,MAX
O75891,22.200446666666668,22.489897000000003,20.483357,ALDH1L1
P23497,16.902942,16.853796,17.5011,SP100
O75947,21.477104,21.512635000000003,21.264553,ATP5H
A0A0G2JNZ2,16.499717999999998,16.7091825,16.423333999999997,SCRIB
Q5JW84,18.959603333333334,19.279607000000006,16.303313999999997,GSTA3
Q16270,15.977898666666666,15.715824500000002,18.455042999999996,IGFBP7
D6RB81,17.64140133333333,17.667634,17.063563999999996,AMACR
P33402,13.187441333333332,12.792264499999998,14.526520999999999,GUCY1A2
O43504,16.290314666666667,16.1962175,16.747214,LAMTOR5
P36551,18.012675333333334,18.0655535,17.334573,CPOX
Q9UJW0,15.655359333333331,15.667890499999999,16.053651,DCTN4
F8W8I6,15.711628666666666,15.576562499999998,16.019118,TIA1
A0A087WTA8,23.868433333333332,23.880953500000004,25.472301000000005,COL1A2
Q9UBX3,16.369529333333336,16.639898500000008,15.498313,SLC25A10
P20073,19.404964000000003,19.4536675,19.652681,ANXA7
Q14624,18.200609999999998,17.813653,18.468774000000003,ITIH4
Q9NXA8,17.425354000000002,17.4567925,17.066889000000003,SIRT5
A6NEL0,17.983183333333336,17.8901465,18.624613000000004,HMGN1
