A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,Protein IDs,Gene names,Gene name
16.60422,14.44245,16.74092,15.82988,14.60021,16.93685,13.77413,15.46398,14.33177,14.72973,14.82635,15.73005,14.92638,14.78767,15.75481,16.36796,14.40669,18.08369,17.81729,15.23629,15.58852,14.3549,14.74818,16.49029,16.44312,15.50782,15.90683,16.15371,14.57505,14.71568,16.18376,15.39509,14.6069,16.0655,14.36746,15.49921,17.35573,14.22688,15.78526,15.70244,14.76433,14.44913,16.07737,14.60271,15.47656,A0A024R216;Q9Y3E1,HDGFRP3;HDGFL3,HDGFRP3
13.91978,14.41975,14.90811,14.42873,15.49965,13.85419,18.09056,12.27017,15.51518,15.62962,15.37588,17.91603,18.45375,17.96608,16.83552,17.56662,14.7186,14.55158,13.97956,14.59278,18.28418,15.07844,14.57521,14.38163,15.41379,14.12387,14.042,17.68425,16.97871,15.87986,13.51406,15.21437,14.39828,13.45107,15.66766,14.04744,13.72603,14.88723,15.45179,14.41864,12.95144,15.80986,12.13453,14.67027,14.67605,A0A024R3W6;A0A024R412;O60462;O60462-2;O60462-3;O60462-4;O60462-5;Q7LBX6;X5D2Q8,NRP2,NRP2
19.26307,19.77331,19.2904,19.12002,19.46428,19.22894,19.77635,19.29472,19.5602,19.66683,19.56889,19.36835,19.35068,19.39805,19.49523,19.20975,19.59288,18.80966,19.04764,19.47516,19.56322,19.46017,19.32081,19.61916,19.64155,19.43088,19.27528,19.66654,19.41895,19.71372,18.96488,19.35246,19.23572,19.18284,19.43397,19.27636,18.81564,19.40652,19.32958,19.2779,19.63773,19.40355,18.97014,19.47854,19.45551,A0A024R4E5,HDLBP,HDLBP
14.52108,16.02689,16.1694,12.58377,15.45407,12.44454,12.17671,11.99288,15.63904,11.20033,15.15729,14.20865,14.84829,13.6914,14.15107,12.76974,15.59178,12.28785,12.98685,13.74599,14.79671,14.3446,12.43835,14.3436,13.24694,12.96487,14.02025,14.26731,12.04896,15.99952,15.36301,14.69633,13.47589,14.54017,14.30032,14.0372,13.39385,15.72329,12.7047,11.56438,15.75814,15.52603,13.2452,11.92087,14.33261,A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8;Q9BXJ8-2,TMPIT;TMEM120A;TMEM120A;TMEM120A;TMEM120A,TMPIT
20.96936,21.29647,21.16128,21.07251,21.19218,21.08537,21.16776,21.03864,21.10094,20.9899,21.11395,21.06001,21.12534,21.17312,21.14391,20.90385,21.10076,20.90173,20.90216,21.10873,21.15791,21.15318,21.05866,21.08791,21.17484,20.98136,21.00601,21.13745,21.08921,21.25535,21.13871,21.08909,21.04651,21.08209,21.08475,21.05335,21.03499,21.05714,21.41711,20.9511,21.11591,21.13156,20.92191,21.04272,21.05227,A0A024R4M0;P46781,RPS9,RPS9
17.78555,18.43075,17.88183,18.58222,18.50776,17.92206,18.81454,18.07575,18.34715,18.387,18.54092,18.33782,18.61705,18.37755,18.49414,18.34436,18.63478,18.73613,18.46482,18.89009,18.59286,18.67406,18.45925,17.64506,18.63653,18.43651,17.53021,18.45499,18.30721,18.27426,17.89201,18.54908,18.57836,17.93584,18.4605,18.32923,18.55423,18.34928,18.43453,18.43467,18.68292,18.47248,18.01157,18.69951,18.56507,A0A024R571;Q9H4M9,EHD1,EHD1
17.58437,18.08057,16.8152,17.82689,18.16107,16.68902,17.82179,17.7175,17.64022,17.61206,18.11144,17.66519,18.20232,17.32346,17.73606,17.42385,18.00529,16.36075,16.5707,17.84703,17.57037,17.91854,17.26866,17.79093,18.05485,17.09149,17.46076,17.867,17.76281,17.51627,16.5965,18.14588,17.62827,16.33409,17.36688,17.37166,16.47072,18.42009,17.52379,17.72127,18.15904,18.21398,16.75804,17.25634,18.0764,A0A024R5I4;O94956,SLCO2B1,SLCO2B1
15.27982,14.12024,14.70741,14.53644,12.519,15.30801,13.38991,14.8771,14.69688,13.05139,14.39688,13.80864,14.10468,13.80521,13.83026,14.13348,13.69548,15.11526,15.77108,13.92346,15.03263,14.70657,14.46216,14.865,14.77874,13.88401,14.51148,12.66636,14.07315,13.23009,15.68542,12.22451,12.50709,15.16145,11.89192,12.2289,15.88285,13.90403,12.30052,13.95198,12.73576,14.06125,15.19456,14.09935,13.45762,A0A024R644;A0A0A0MRU5;O75503,CLN5,CLN5
19.342,18.70998,21.25388,18.72642,13.58986,16.67686,12.28463,15.4025,18.49953,16.86754,11.46697,12.56786,11.85463,13.35051,13.12107,12.79353,12.98859,14.75191,16.42061,12.44227,21.43509,18.71391,13.78321,16.48555,18.53762,11.6428,14.58538,13.36423,18.65986,12.70224,16.97735,17.68364,12.02183,16.95008,12.99355,12.90048,21.37867,18.86951,18.75525,12.31237,12.67465,18.07703,15.39299,18.13285,11.21373,A0A024R6I7,SERPINA1,SERPINA1
19.77169,20.52324,20.59973,19.78314,20.54682,20.50437,20.43997,21.00153,20.53503,20.02211,20.11421,20.25213,20.58206,20.13354,20.08676,19.50446,20.52374,18.98654,18.91362,19.91955,20.86721,20.50527,20.28963,20.74091,19.97257,19.97363,20.05538,20.32464,19.95702,21.0305,19.63029,20.01487,19.81261,19.5526,19.97424,19.80947,19.86758,20.33207,20.62831,20.13417,20.42908,20.14051,20.25741,20.45821,20.36328,A0A024R6X1;O00748,CES2,CES2
