Protein ID,Gene name,Protein name,Genename_ProteinID,Mol. weight [Da],Sequence coverage [%],Peptides per protein,Unique peptides per protein
A0A0D9SFH9,CLN3,Battenin,CLN3__A0A0D9SFH9,36272.0,21.7,5.0,2.0
A0A024R161,DNAJC25-GNG10,Guanine nucleotide-binding protein subunit gamma,DNAJC25-GNG10__A0A024R161,16499.0,51.0,6.0,
A0A024R216,HDGFRP3,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a",HDGFRP3__A0A024R216,22619.0,35.5,6.0,4.0
A0A024R368,PRICKLE2,Prickle-like protein 2,PRICKLE2__A0A024R368,95614.0,2.5,3.0,3.0
A0A024R3W6,NRP2,Neuropilin-2,NRP2__A0A024R3W6,102210.0,22.0,18.0,18.0
A0A024R4E5,HDLBP,Vigilin,HDLBP__A0A024R4E5,141440.0,63.2,68.0,68.0
A0A087WZA9,TMEM120A,Transmembrane protein 120A,TMEM120A__A0A087WZA9,20459.0,54.0,8.0,8.0
A0A024R4M0,RPS9,40S ribosomal protein S9,RPS9__A0A024R4M0,22591.0,58.2,19.0,19.0
A0A024R571,EHD1,EH domain-containing protein 1,EHD1__A0A024R571,61927.0,77.2,35.0,22.0
A0A024R5I4,SLCO2B1,Solute carrier organic anion transporter family member 2B1,SLCO2B1__A0A024R5I4,76698.0,17.3,11.0,6.0
A0A0A0MRU5,CLN5,Ceroid-lipofuscinosis neuronal protein 5,CLN5__A0A0A0MRU5,41496.0,18.7,7.0,7.0
A0A024R6I7,SERPINA1,,SERPINA1__A0A024R6I7,46708.0,77.0,30.0,1.0
A0A024R6X1,CES2,Carboxylic ester hydrolase,CES2__A0A024R6X1,68898.0,44.1,23.0,21.0
K7EN05,ELOF1,Transcription elongation factor 1 homolog,ELOF1__K7EN05,8653.1,23.7,1.0,1.0
A0A024RA52,PSMA2,Proteasome subunit alpha type,PSMA2__A0A024RA52,25898.0,76.9,15.0,15.0
A0A024RAC6,TCEB3,Transcription elongation factor B polypeptide 3,TCEB3__A0A024RAC6,87229.0,24.2,17.0,17.0
A0A024RCG2,SLC22A18,Solute carrier family 22 member 18,SLC22A18__A0A024RCG2,44817.0,18.4,5.0,5.0
A0A024RCL9,LST1,Leukocyte-specific transcript 1 protein,LST1__A0A024RCL9,9162.6,29.3,2.0,2.0
