Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
A3GALT2,"A3GALT2P, IGB3S, IGBS3S",ENSG00000184389,"Alpha 1,3-galactosyltransferase 2",1,33306766-33321098,"Enzymes, Predicted membrane proteins",Evidence at transcript level,,,,,,,Not detected,Not detected,,,testis: 0.6,Not detected,,
A4GALT,"A14GALT, Gb3S, P(k), P1",ENSG00000128274,"Alpha 1,4-galactosyltransferase",22,42692121-42721298,"Enzymes, Predicted membrane proteins",Evidence at protein level,"HPA001141, HPA076542",,,Supported,Mitochondria,Cervical cancer:2.48e-4 (favourable),Expressed in all,Mixed,,,seminal vesicle: 30.5,Mixed,,
AACS,"ACSF1, FLJ12389, SUR-5",ENSG00000081760,Acetoacetyl-CoA synthetase,12,125065379-125143333,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA058815,Approved,,Approved,Vesicles,,Expressed in all,Expressed in all,,,breast: 55.0,Expressed in all,,
AADAC,"CES5A1, DAC",ENSG00000114771,Arylacetamide deacetylase,3,151814037-151828488,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA002911,Approved,,,,"Ovarian cancer:5.58e-6 (favourable), Stomach cancer:2.19e-4 (unfavourable), Pancreatic cancer:5.02e-4 (unfavourable)",Tissue enriched,Group enriched,5,adrenal gland: 150.1;duodenum: 182.4;liver: 386.8;small intestine: 215.8,stomach: 43.5,Cell line enhanced,,A549: 7.3;EFO-21: 3.9;HBEC3-KT: 2.7
AADAT,"KAT2, KATII, KYAT2",ENSG00000109576,Aminoadipate aminotransferase,4,170060222-170091699,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA037502,Enhanced,,Approved,Vesicles<br>Plasma membrane,Colorectal cancer:5.59e-4 (favourable),Expressed in all,Tissue enhanced,,liver: 34.7,prostate: 23.4,Mixed,,
AAK1,"DKFZp686K16132, KIAA1048",ENSG00000115977,AP2 associated kinase 1,2,69457997-69674349,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA017931, HPA020289",Enhanced,,Supported,Plasma membrane<br>Cytosol,Ovarian cancer:3.19e-4 (unfavourable),Expressed in all,Tissue enriched,7,parathyroid gland: 389.6,thyroid gland: 59.4,Expressed in all,,
AANAT,SNAT,ENSG00000129673,Aralkylamine N-acetyltransferase,17,76453351-76470117,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA054321,,,Supported,Cytosol,,Not detected,Tissue enhanced,,testis: 4.5,appendix: 2.2,Cell line enhanced,,A549: 2.2;SCLC-21H: 3.5;U-698: 2.5
AARS,"AlaRS, CMT2N",ENSG00000090861,Alanyl-tRNA synthetase,16,70252295-70289543,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB034261, HPA040870, HPA044223",Supported,,Enhanced,Cytosol,,Expressed in all,Expressed in all,,,parathyroid gland: 178.0,Expressed in all,,
AARS2,"AARSL, bA444E17.1, KIAA1270",ENSG00000124608,"Alanyl-tRNA synthetase 2, mitochondrial",6,44299654-44313326,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA035636, HPA061396",Approved,,Enhanced,Mitochondria,,Expressed in all,Mixed,,,parathyroid gland: 11.4,Expressed in all,,
AASS,"LKRSDH, LORSDH",ENSG00000008311,Aminoadipate-semialdehyde synthase,7,122075647-122144280,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA020637, HPA020728, HPA020734",Enhanced,,Enhanced,Vesicles<br>Mitochondria,Liver cancer:9.81e-4 (favourable),Expressed in all,Mixed,,,ovary: 30.7,Cell line enhanced,,AN3-CA: 49.4;NTERA-2: 51.8
