Protein ID,Gene names,Protein names,ProteinID_Genename,Genename_ProteinID
A0A024R368,PRICKLE2,Prickle-like protein 2,A0A024R368_PRICKLE2,PRICKLE2__A0A024R368
A0A024R3W6,NRP2,Neuropilin-2,A0A024R3W6_NRP2,NRP2__A0A024R3W6
A0A024R4E5,HDLBP,Vigilin,A0A024R4E5_HDLBP,HDLBP__A0A024R4E5
A0A087WZA9,TMEM120A,Transmembrane protein 120A,A0A087WZA9_TMEM120A,TMEM120A__A0A087WZA9
A0A024R4M0,RPS9,40S ribosomal protein S9,A0A024R4M0_RPS9,RPS9__A0A024R4M0
A0A024R571,EHD1,EH domain-containing protein 1,A0A024R571_EHD1,EHD1__A0A024R571
A0A024R5I4,SLCO2B1,Solute carrier organic anion transporter family member 2B1,A0A024R5I4_SLCO2B1,SLCO2B1__A0A024R5I4
A0A0A0MRU5,CLN5,Ceroid-lipofuscinosis neuronal protein 5,A0A0A0MRU5_CLN5,CLN5__A0A0A0MRU5
A0A024R6I7,SERPINA1,,A0A024R6I7_SERPINA1,SERPINA1__A0A024R6I7
A0A024R6X1,CES2,Carboxylic ester hydrolase,A0A024R6X1_CES2,CES2__A0A024R6X1
K7EN05,ELOF1,Transcription elongation factor 1 homolog,K7EN05_ELOF1,ELOF1__K7EN05
A0A024RA52,PSMA2,Proteasome subunit alpha type,A0A024RA52_PSMA2,PSMA2__A0A024RA52
A0A024RAC6,TCEB3,Transcription elongation factor B polypeptide 3,A0A024RAC6_TCEB3,TCEB3__A0A024RAC6
A0A024RCG2,SLC22A18,Solute carrier family 22 member 18,A0A024RCG2_SLC22A18,SLC22A18__A0A024RCG2
A0A024RCL9,LST1,Leukocyte-specific transcript 1 protein,A0A024RCL9_LST1,LST1__A0A024RCL9
A0A087X2F1,ZSCAN26,Zinc finger and SCAN domain-containing protein 26,A0A087X2F1_ZSCAN26,ZSCAN26__A0A087X2F1
A0A024RCR6,BAT3,Large proline-rich protein BAG6,A0A024RCR6_BAT3,BAT3__A0A024RCR6
A0A044PY82,LOC113230,Uncharacterized protein LOC113230,A0A044PY82_LOC113230,LOC113230__A0A044PY82
G5E9M9,VGLL4,Transcription cofactor vestigial-like protein 4,G5E9M9_VGLL4,VGLL4__G5E9M9
A0A075B6F5,MYO18B,Unconventional myosin-XVIIIb,A0A075B6F5_MYO18B,MYO18B__A0A075B6F5
A0A075B6H3,TMCO4,Transmembrane and coiled-coil domain-containing protein 4,A0A075B6H3_TMCO4,TMCO4__A0A075B6H3
A0A075B6H9,IGLV4-69,,A0A075B6H9_IGLV4-69,IGLV4-69__A0A075B6H9
A0A075B6I0,IGLV8-61,,A0A075B6I0_IGLV8-61,IGLV8-61__A0A075B6I0
A0A075B6J9,IGLV2-18,,A0A075B6J9_IGLV2-18,IGLV2-18__A0A075B6J9
A0A075B6K4,IGLV3-10,,A0A075B6K4_IGLV3-10,IGLV3-10__A0A075B6K4
